user_id,department,date,emails_sent,emails_received,avg_response_time_min,threads_initiated
U001,Engineering,2025-01-01,7,12,42.2,5
U002,Engineering,2025-01-01,7,16,16.6,4
U003,Engineering,2025-01-01,11,12,35.2,4
U004,Sales,2025-01-01,7,16,17.4,4
U005,Sales,2025-01-01,14,18,24.5,4
U006,Finance,2025-01-01,5,17,14.4,3
U007,Engineering,2025-01-01,5,9,14.8,1
U008,Sales,2025-01-01,11,24,14.6,6
U009,Marketing,2025-01-01,9,10,12.5,3
U010,Sales,2025-01-01,8,17,40.2,4
U011,HR,2025-01-01,9,9,23.9,3
U012,Finance,2025-01-01,12,10,29.4,3
U013,Sales,2025-01-01,9,19,13.3,2
U014,Sales,2025-01-01,8,10,17.9,2
U015,Sales,2025-01-01,7,12,27.4,2
U016,Engineering,2025-01-01,6,10,20.4,2
U017,HR,2025-01-01,3,4,33.5,2
U018,Sales,2025-01-01,10,17,18.9,6
U019,Sales,2025-01-01,11,17,13.4,3
U020,Engineering,2025-01-01,5,14,30.5,2
U021,Finance,2025-01-01,6,12,26.2,2
U022,Finance,2025-01-01,6,17,27.4,2
U023,Engineering,2025-01-01,3,10,28.3,3
U024,Finance,2025-01-01,7,15,53.5,3
U025,Marketing,2025-01-01,10,13,18.5,2
U026,Finance,2025-01-01,8,7,16.5,3
U027,Engineering,2025-01-01,4,9,29.1,3
U028,Engineering,2025-01-01,5,7,84.8,1
U029,Sales,2025-01-01,9,14,22.6,3
U030,Sales,2025-01-01,14,23,13.7,6
U031,Sales,2025-01-01,12,19,20.2,3
U032,HR,2025-01-01,9,15,32.4,4
U033,Engineering,2025-01-01,4,13,19.5,2
U034,Marketing,2025-01-01,8,15,15.3,2
U035,Finance,2025-01-01,7,16,24.6,2
U036,Engineering,2025-01-01,6,12,25.1,2
U037,Marketing,2025-01-01,4,20,153.7,4
U038,HR,2025-01-01,3,8,17.3,2
U039,Engineering,2025-01-01,5,7,29.6,1
U040,HR,2025-01-01,3,16,15.5,1
U041,Marketing,2025-01-01,8,14,35.8,4
U042,Marketing,2025-01-01,3,12,24.5,1
U043,HR,2025-01-01,9,11,39.1,3
U044,Engineering,2025-01-01,8,7,20.4,2
U045,Engineering,2025-01-01,5,12,50.3,1
U046,HR,2025-01-01,8,11,41.3,3
U047,Engineering,2025-01-01,5,15,30.3,1
U048,Engineering,2025-01-01,6,14,29.4,2
U049,Engineering,2025-01-01,4,13,72.2,2
U050,HR,2025-01-01,4,5,31.8,1
U051,Finance,2025-01-01,13,19,24.2,3
U052,HR,2025-01-01,7,13,25.0,3
U053,Marketing,2025-01-01,6,14,19.7,2
U054,Engineering,2025-01-01,6,14,16.2,6
U055,Engineering,2025-01-01,6,13,18.6,2
U056,Sales,2025-01-01,8,9,15.8,2
U057,Marketing,2025-01-01,10,9,26.6,2
U058,Marketing,2025-01-01,12,12,31.5,5
U059,Marketing,2025-01-01,9,20,24.5,2
U060,Engineering,2025-01-01,8,13,23.3,5
U061,Engineering,2025-01-01,5,8,17.7,3
U062,Marketing,2025-01-01,9,11,34.1,3
U063,Marketing,2025-01-01,7,10,57.2,3
U064,Engineering,2025-01-01,13,9,28.2,6
U065,Sales,2025-01-01,17,21,7.4,5
U066,Marketing,2025-01-01,10,18,10.9,4
U067,Engineering,2025-01-01,3,13,23.6,1
U068,Engineering,2025-01-01,3,11,55.5,1
U069,HR,2025-01-01,3,11,40.9,1
U070,Engineering,2025-01-01,5,8,34.0,1
U071,Engineering,2025-01-01,6,12,70.6,4
U072,Engineering,2025-01-01,7,8,11.9,5
U073,Marketing,2025-01-01,10,16,23.5,4
U074,Marketing,2025-01-01,6,18,17.9,2
U075,Sales,2025-01-01,12,15,10.9,4
U076,Engineering,2025-01-01,2,15,13.2,4
U077,Engineering,2025-01-01,8,10,100.7,2
U078,Engineering,2025-01-01,7,8,46.3,3
U079,Engineering,2025-01-01,5,10,30.3,1
U080,Sales,2025-01-01,6,25,9.4,2
U081,Sales,2025-01-01,10,23,33.1,4
U082,Sales,2025-01-01,8,17,26.1,2
U083,Marketing,2025-01-01,4,17,27.6,3
U084,Engineering,2025-01-01,3,12,26.1,2
U085,HR,2025-01-01,7,11,25.5,4
U086,Marketing,2025-01-01,11,16,33.0,3
U087,Sales,2025-01-01,15,22,11.1,7
U088,Engineering,2025-01-01,6,12,11.4,2
U089,Sales,2025-01-01,11,19,18.6,4
U090,Sales,2025-01-01,7,11,20.7,3
U091,Sales,2025-01-01,15,14,27.0,9
U092,Engineering,2025-01-01,9,15,25.8,4
U093,Engineering,2025-01-01,3,15,31.0,1
U094,Marketing,2025-01-01,4,11,28.1,1
U095,Finance,2025-01-01,5,6,31.5,1
U096,Sales,2025-01-01,9,12,20.7,4
U097,Engineering,2025-01-01,7,13,71.0,4
U098,Engineering,2025-01-01,4,12,32.4,2
U099,Sales,2025-01-01,8,14,29.1,3
U100,Finance,2025-01-01,7,10,10.7,5
U001,Engineering,2025-01-02,4,13,15.5,2
U002,Engineering,2025-01-02,7,8,27.9,2
U003,Engineering,2025-01-02,7,13,31.9,3
U004,Sales,2025-01-02,11,23,21.2,3
U005,Sales,2025-01-02,7,8,34.6,2
U006,Finance,2025-01-02,11,13,26.4,6
U007,Engineering,2025-01-02,3,7,46.5,2
U008,Sales,2025-01-02,10,20,9.1,4
U009,Marketing,2025-01-02,9,14,24.3,3
U010,Sales,2025-01-02,6,13,7.9,2
U011,HR,2025-01-02,9,14,34.0,3
U012,Finance,2025-01-02,3,13,10.2,2
U013,Sales,2025-01-02,13,16,22.2,3
U014,Sales,2025-01-02,15,10,15.1,6
U015,Sales,2025-01-02,11,18,17.4,3
U016,Engineering,2025-01-02,5,15,12.4,3
U017,HR,2025-01-02,5,10,21.7,1
U018,Sales,2025-01-02,8,14,52.0,4
U019,Sales,2025-01-02,6,24,29.2,2
U020,Engineering,2025-01-02,5,6,15.7,2
U021,Finance,2025-01-02,6,10,14.0,2
U022,Finance,2025-01-02,6,15,15.2,2
U023,Engineering,2025-01-02,10,17,18.4,2
U024,Finance,2025-01-02,3,6,24.5,1
U025,Marketing,2025-01-02,9,13,28.4,5
U026,Finance,2025-01-02,7,13,21.9,4
U027,Engineering,2025-01-02,10,17,47.8,2
U028,Engineering,2025-01-02,8,5,35.5,2
U029,Sales,2025-01-02,12,17,34.1,3
U030,Sales,2025-01-02,4,16,18.6,2
U031,Sales,2025-01-02,10,19,34.0,2
U032,HR,2025-01-02,12,9,33.0,4
U033,Engineering,2025-01-02,9,9,48.5,3
U034,Marketing,2025-01-02,12,19,15.6,4
U035,Finance,2025-01-02,6,9,59.5,2
U036,Engineering,2025-01-02,7,11,5.9,2
U037,Marketing,2025-01-02,0,10,22.2,1
U038,HR,2025-01-02,6,10,30.2,2
U039,Engineering,2025-01-02,4,11,32.1,4
U040,HR,2025-01-02,7,6,21.7,5
U041,Marketing,2025-01-02,10,16,21.0,4
U042,Marketing,2025-01-02,11,17,29.9,4
U043,HR,2025-01-02,7,10,14.8,2
U044,Engineering,2025-01-02,12,22,19.9,5
U045,Engineering,2025-01-02,6,10,24.2,2
U046,HR,2025-01-02,6,10,17.2,2
U047,Engineering,2025-01-02,7,18,17.7,4
U048,Engineering,2025-01-02,3,7,39.7,4
U049,Engineering,2025-01-02,5,13,24.6,2
U050,HR,2025-01-02,6,11,19.8,2
U051,Finance,2025-01-02,9,13,28.5,2
