user_id,department,date,meetings_attended,total_meeting_minutes,avg_participants
U001,Engineering,2025-01-01,4,104,5
U002,Engineering,2025-01-01,4,64,4
U003,Engineering,2025-01-01,6,198,7
U004,Sales,2025-01-01,2,60,6
U005,Sales,2025-01-01,3,132,6
U006,Finance,2025-01-01,3,99,6
U007,Engineering,2025-01-01,2,44,6
U008,Sales,2025-01-01,4,56,6
U009,Marketing,2025-01-01,4,144,5
U010,Sales,2025-01-01,7,189,10
U011,HR,2025-01-01,7,203,6
U012,Finance,2025-01-01,6,144,6
U013,Sales,2025-01-01,7,70,8
U014,Sales,2025-01-01,5,195,8
U015,Sales,2025-01-01,8,280,14
U016,Engineering,2025-01-01,3,96,5
U017,HR,2025-01-01,7,259,6
U018,Sales,2025-01-01,6,108,6
U019,Sales,2025-01-01,4,200,6
U020,Engineering,2025-01-01,2,54,5
U021,Finance,2025-01-01,6,204,6
U022,Finance,2025-01-01,5,185,6
U023,Engineering,2025-01-01,2,10,5
U024,Finance,2025-01-01,5,235,6
U025,Marketing,2025-01-01,3,93,6
U026,Finance,2025-01-01,3,39,4
U027,Engineering,2025-01-01,2,52,7
U028,Engineering,2025-01-01,4,228,7
U029,Sales,2025-01-01,4,112,6
U030,Sales,2025-01-01,6,96,8
U031,Sales,2025-01-01,9,252,8
U032,HR,2025-01-01,5,170,6
U033,Engineering,2025-01-01,2,48,6
U034,Marketing,2025-01-01,4,96,8
U035,Finance,2025-01-01,3,126,8
U036,Engineering,2025-01-01,2,76,6
U037,Marketing,2025-01-01,8,240,7
U038,HR,2025-01-01,6,174,6
U039,Engineering,2025-01-01,3,93,7
U040,HR,2025-01-01,6,156,8
U041,Marketing,2025-01-01,5,150,7
U042,Marketing,2025-01-01,5,155,9
U043,HR,2025-01-01,2,90,6
U044,Engineering,2025-01-01,6,108,5
U045,Engineering,2025-01-01,5,195,11
U046,HR,2025-01-01,9,423,8
U047,Engineering,2025-01-01,3,63,4
U048,Engineering,2025-01-01,3,96,5
U049,Engineering,2025-01-01,6,198,7
U050,HR,2025-01-01,4,112,6
U051,Finance,2025-01-01,8,200,4
U052,HR,2025-01-01,0,20,10
U053,Marketing,2025-01-01,5,40,6
U054,Engineering,2025-01-01,2,72,5
U055,Engineering,2025-01-01,7,35,7
U056,Sales,2025-01-01,5,175,6
U057,Marketing,2025-01-01,3,117,6
U058,Marketing,2025-01-01,4,80,7
U059,Marketing,2025-01-01,5,180,6
U060,Engineering,2025-01-01,2,74,8
U061,Engineering,2025-01-01,1,37,5
U062,Marketing,2025-01-01,8,208,6
U063,Marketing,2025-01-01,4,136,9
U064,Engineering,2025-01-01,3,96,5
U065,Sales,2025-01-01,10,220,10
U066,Marketing,2025-01-01,5,125,8
U067,Engineering,2025-01-01,2,72,6
U068,Engineering,2025-01-01,3,75,6
U069,HR,2025-01-01,4,140,6
U070,Engineering,2025-01-01,4,124,6
U071,Engineering,2025-01-01,3,84,5
U072,Engineering,2025-01-01,4,124,5
U073,Marketing,2025-01-01,5,165,7
U074,Marketing,2025-01-01,7,217,6
U075,Sales,2025-01-01,10,320,8
U076,Engineering,2025-01-01,2,74,7
U077,Engineering,2025-01-01,0,28,4
U078,Engineering,2025-01-01,3,96,7
U079,Engineering,2025-01-01,10,280,9
U080,Sales,2025-01-01,12,408,8
U081,Sales,2025-01-01,6,174,6
U082,Sales,2025-01-01,7,259,8
U083,Marketing,2025-01-01,7,287,6
U084,Engineering,2025-01-01,1,16,9
U085,HR,2025-01-01,5,220,8
U086,Marketing,2025-01-01,3,126,8
U087,Sales,2025-01-01,9,198,8
U088,Engineering,2025-01-01,3,162,4
U089,Sales,2025-01-01,5,160,6
U090,Sales,2025-01-01,11,385,6
U091,Sales,2025-01-01,3,141,6
U092,Engineering,2025-01-01,5,120,8
U093,Engineering,2025-01-01,3,57,7
U094,Marketing,2025-01-01,1,27,9
U095,Finance,2025-01-01,8,256,6
U096,Sales,2025-01-01,7,238,6
U097,Engineering,2025-01-01,3,111,4
