from_user,to_user,from_department,date,shares
U001,U002,Engineering,2025-01-05,1
U001,U002,Engineering,2025-01-09,1
U001,U002,Engineering,2025-01-21,1
U001,U002,Engineering,2025-02-20,1
U001,U002,Engineering,2025-04-02,1
U001,U002,Engineering,2025-04-09,1
U001,U003,Engineering,2025-01-06,2
U001,U003,Engineering,2025-01-24,1
U001,U003,Engineering,2025-02-18,1
U001,U003,Engineering,2025-02-24,1
U001,U003,Engineering,2025-03-02,1
U001,U003,Engineering,2025-04-02,1
U001,U004,Engineering,2025-02-21,1
U001,U004,Engineering,2025-03-20,1
U001,U007,Engineering,2025-01-02,1
U001,U007,Engineering,2025-01-25,1
U001,U007,Engineering,2025-01-29,1
U001,U007,Engineering,2025-02-16,1
U001,U007,Engineering,2025-02-21,1
U001,U007,Engineering,2025-03-17,1
U001,U007,Engineering,2025-03-26,1
U001,U008,Engineering,2025-03-04,1
U001,U010,Engineering,2025-03-28,1
U001,U011,Engineering,2025-01-13,1
U001,U011,Engineering,2025-03-25,1
U001,U012,Engineering,2025-01-24,1
U001,U012,Engineering,2025-04-07,1
U001,U014,Engineering,2025-02-20,1
U001,U015,Engineering,2025-03-23,1
U001,U016,Engineering,2025-02-07,1
U001,U016,Engineering,2025-02-10,2
U001,U016,Engineering,2025-02-22,1
U001,U016,Engineering,2025-03-04,1
U001,U016,Engineering,2025-03-29,1
U001,U017,Engineering,2025-01-22,1
U001,U020,Engineering,2025-01-01,1
U001,U020,Engineering,2025-01-08,1
U001,U020,Engineering,2025-01-17,1
U001,U020,Engineering,2025-01-21,1
U001,U020,Engineering,2025-01-29,2
U001,U020,Engineering,2025-02-01,1
U001,U020,Engineering,2025-02-20,1
U001,U020,Engineering,2025-03-04,1
U001,U020,Engineering,2025-03-23,1
U001,U020,Engineering,2025-03-30,1
U001,U020,Engineering,2025-04-08,1
U001,U022,Engineering,2025-03-29,1
U001,U023,Engineering,2025-01-20,1
U001,U023,Engineering,2025-01-27,2
U001,U023,Engineering,2025-01-31,1
U001,U023,Engineering,2025-02-18,1
U001,U024,Engineering,2025-04-09,1
U001,U025,Engineering,2025-02-05,1
U001,U026,Engineering,2025-03-24,1
U001,U027,Engineering,2025-01-11,1
U001,U027,Engineering,2025-02-05,1
U001,U027,Engineering,2025-02-09,1
U001,U027,Engineering,2025-02-20,1
U001,U027,Engineering,2025-03-02,1
U001,U027,Engineering,2025-03-03,1
U001,U027,Engineering,2025-03-19,1
U001,U027,Engineering,2025-03-23,1
U001,U027,Engineering,2025-04-01,1
U001,U027,Engineering,2025-04-08,1
U001,U027,Engineering,2025-04-10,1
U001,U028,Engineering,2025-01-15,1
U001,U028,Engineering,2025-02-06,1
U001,U028,Engineering,2025-02-24,1
U001,U028,Engineering,2025-03-12,1
U001,U028,Engineering,2025-03-13,1
U001,U028,Engineering,2025-03-20,1
U001,U028,Engineering,2025-04-03,1
U001,U029,Engineering,2025-01-28,1
U001,U030,Engineering,2025-01-08,1
U001,U033,Engineering,2025-01-02,1
U001,U033,Engineering,2025-01-10,1
U001,U033,Engineering,2025-01-15,1
U001,U033,Engineering,2025-01-16,1
U001,U033,Engineering,2025-01-17,1
U001,U033,Engineering,2025-01-22,1
U001,U033,Engineering,2025-02-18,1
U001,U033,Engineering,2025-03-29,1
U001,U035,Engineering,2025-01-24,1
U001,U035,Engineering,2025-04-09,1
U001,U036,Engineering,2025-01-20,1
U001,U036,Engineering,2025-01-31,2
U001,U036,Engineering,2025-02-25,1
U001,U036,Engineering,2025-02-28,1
U001,U036,Engineering,2025-03-13,1
U001,U036,Engineering,2025-03-17,1
U001,U036,Engineering,2025-03-29,1
U001,U036,Engineering,2025-04-08,1
U001,U038,Engineering,2025-03-09,1
U001,U038,Engineering,2025-03-26,1
U001,U039,Engineering,2025-01-09,1
U001,U039,Engineering,2025-02-11,1
U001,U039,Engineering,2025-02-25,1
U001,U039,Engineering,2025-04-10,1
U001,U041,Engineering,2025-03-01,1
U001,U042,Engineering,2025-02-04,1
U001,U042,Engineering,2025-03-07,1
U001,U044,Engineering,2025-01-01,1
U001,U044,Engineering,2025-01-03,1
U001,U044,Engineering,2025-02-02,1
U001,U044,Engineering,2025-02-23,1
U001,U044,Engineering,2025-02-24,1
U001,U044,Engineering,2025-02-25,1
U001,U044,Engineering,2025-02-28,1
U001,U044,Engineering,2025-03-07,1
U001,U044,Engineering,2025-03-28,1
U001,U045,Engineering,2025-01-21,1
U001,U045,Engineering,2025-01-31,1
U001,U045,Engineering,2025-02-03,1
U001,U045,Engineering,2025-03-02,1
U001,U045,Engineering,2025-03-18,1
U001,U045,Engineering,2025-04-02,1
U001,U045,Engineering,2025-04-08,1
U001,U046,Engineering,2025-02-05,1
U001,U047,Engineering,2025-01-02,1
U001,U047,Engineering,2025-03-20,1
U001,U047,Engineering,2025-03-27,1
U001,U047,Engineering,2025-04-08,1
U001,U047,Engineering,2025-04-09,1
U001,U048,Engineering,2025-01-01,1
U001,U048,Engineering,2025-01-20,1
U001,U048,Engineering,2025-01-22,1
U001,U048,Engineering,2025-02-26,1
U001,U048,Engineering,2025-03-04,1
U001,U048,Engineering,2025-03-16,1
U001,U048,Engineering,2025-03-25,1
U001,U049,Engineering,2025-01-30,1
U001,U049,Engineering,2025-02-17,1
U001,U049,Engineering,2025-03-05,1
U001,U049,Engineering,2025-03-11,1
U001,U049,Engineering,2025-03-14,1
U001,U049,Engineering,2025-04-06,1
U001,U050,Engineering,2025-03-16,1
U001,U051,Engineering,2025-01-13,1
U001,U053,Engineering,2025-01-14,1
U001,U054,Engineering,2025-01-09,1
U001,U054,Engineering,2025-01-19,1
U001,U054,Engineering,2025-02-10,1
U001,U054,Engineering,2025-02-25,1
U001,U054,Engineering,2025-02-27,1
U001,U054,Engineering,2025-03-25,1
U001,U054,Engineering,2025-03-31,1
U001,U054,Engineering,2025-04-03,1
U001,U054,Engineering,2025-04-06,1
U001,U055,Engineering,2025-01-22,1
U001,U055,Engineering,2025-01-27,1
U001,U055,Engineering,2025-02-20,1
U001,U055,Engineering,2025-03-13,1
U001,U055,Engineering,2025-04-07,1
U001,U055,Engineering,2025-04-09,1
U001,U056,Engineering,2025-01-21,1
U001,U056,Engineering,2025-01-28,1
U001,U056,Engineering,2025-02-19,1
U001,U056,Engineering,2025-03-21,1
U001,U057,Engineering,2025-03-10,1
U001,U058,Engineering,2025-01-02,1
U001,U060,Engineering,2025-01-16,1
U001,U060,Engineering,2025-01-20,2
U001,U060,Engineering,2025-03-15,1
U001,U061,Engineering,2025-02-17,1
U001,U061,Engineering,2025-02-18,1
U001,U061,Engineering,2025-02-25,1
U001,U061,Engineering,2025-03-03,1
U001,U061,Engineering,2025-03-19,1
U001,U061,Engineering,2025-03-25,1
U001,U061,Engineering,2025-03-28,1
U001,U061,Engineering,2025-04-02,1
U001,U061,Engineering,2025-04-10,1
U001,U064,Engineering,2025-01-31,1
U001,U064,Engineering,2025-02-12,1
U001,U064,Engineering,2025-02-24,1
U001,U065,Engineering,2025-02-25,1
U001,U066,Engineering,2025-01-06,1
U001,U066,Engineering,2025-02-12,1
U001,U066,Engineering,2025-03-06,1
U001,U067,Engineering,2025-01-02,1
U001,U067,Engineering,2025-01-27,1
U001,U067,Engineering,2025-02-04,1
U001,U067,Engineering,2025-03-12,1
U001,U067,Engineering,2025-03-17,1
U001,U067,Engineering,2025-03-20,1
U001,U068,Engineering,2025-01-10,1
U001,U068,Engineering,2025-01-23,1
U001,U068,Engineering,2025-01-29,1
U001,U068,Engineering,2025-01-31,1
U001,U068,Engineering,2025-02-26,1
U001,U068,Engineering,2025-03-03,1
U001,U068,Engineering,2025-03-05,1
U001,U068,Engineering,2025-03-06,1
U001,U068,Engineering,2025-03-17,1
U001,U068,Engineering,2025-04-08,1
U001,U069,Engineering,2025-03-27,1
U001,U070,Engineering,2025-02-27,1
U001,U070,Engineering,2025-03-10,1
U001,U070,Engineering,2025-03-19,1
U001,U070,Engineering,2025-03-26,1
U001,U070,Engineering,2025-04-05,1
U001,U071,Engineering,2025-01-03,1
U001,U071,Engineering,2025-02-03,1
U001,U071,Engineering,2025-02-10,2
U001,U071,Engineering,2025-02-17,1
U001,U071,Engineering,2025-02-25,1
U001,U071,Engineering,2025-03-11,1
U001,U071,Engineering,2025-04-01,1
U001,U071,Engineering,2025-04-05,1
U001,U072,Engineering,2025-01-30,1
U001,U072,Engineering,2025-02-06,1
U001,U072,Engineering,2025-02-27,1
U001,U072,Engineering,2025-03-27,1
U001,U074,Engineering,2025-01-09,1
U001,U074,Engineering,2025-03-04,1
U001,U075,Engineering,2025-01-29,1
U001,U076,Engineering,2025-01-07,1
U001,U076,Engineering,2025-01-21,1
U001,U076,Engineering,2025-01-31,1
U001,U076,Engineering,2025-02-24,1
U001,U076,Engineering,2025-03-08,1
U001,U077,Engineering,2025-01-03,1
U001,U077,Engineering,2025-01-15,1
U001,U077,Engineering,2025-01-17,1
U001,U077,Engineering,2025-02-10,1
U001,U077,Engineering,2025-02-14,1
U001,U077,Engineering,2025-03-05,1
U001,U078,Engineering,2025-01-01,1
U001,U078,Engineering,2025-01-03,1
U001,U078,Engineering,2025-02-03,1
U001,U078,Engineering,2025-02-04,1
U001,U078,Engineering,2025-02-14,1
U001,U078,Engineering,2025-02-21,1
U001,U078,Engineering,2025-03-10,1
U001,U078,Engineering,2025-03-16,1
U001,U078,Engineering,2025-03-17,1
U001,U078,Engineering,2025-04-08,1
U001,U079,Engineering,2025-01-10,1
U001,U079,Engineering,2025-02-13,2
U001,U079,Engineering,2025-03-19,1
U001,U080,Engineering,2025-02-13,1
U001,U083,Engineering,2025-02-28,1
U001,U084,Engineering,2025-01-16,1
U001,U084,Engineering,2025-01-30,1
U001,U084,Engineering,2025-03-28,1
U001,U088,Engineering,2025-01-28,1
U001,U088,Engineering,2025-02-07,1
U001,U088,Engineering,2025-02-08,1
U001,U088,Engineering,2025-02-18,1
U001,U088,Engineering,2025-02-25,1
U001,U088,Engineering,2025-03-06,2
U001,U091,Engineering,2025-03-07,1
U001,U092,Engineering,2025-02-15,1
U001,U092,Engineering,2025-03-06,1
U001,U092,Engineering,2025-03-11,1
U001,U092,Engineering,2025-03-21,1
U001,U092,Engineering,2025-04-03,1
U001,U092,Engineering,2025-04-07,1
U001,U093,Engineering,2025-01-06,1
U001,U093,Engineering,2025-01-10,1
U001,U095,Engineering,2025-01-21,1
U001,U095,Engineering,2025-02-04,1
U001,U096,Engineering,2025-01-08,1
U001,U097,Engineering,2025-01-02,1
U001,U097,Engineering,2025-02-13,1
U001,U097,Engineering,2025-03-04,1
U001,U097,Engineering,2025-03-05,1
U001,U097,Engineering,2025-03-24,1
U001,U097,Engineering,2025-03-27,1
U001,U098,Engineering,2025-01-09,1
U001,U098,Engineering,2025-02-03,1
U001,U098,Engineering,2025-02-17,1
U001,U099,Engineering,2025-01-03,1
U001,U100,Engineering,2025-01-10,1
U002,U001,Engineering,2025-01-05,1
U002,U001,Engineering,2025-01-15,1
U002,U001,Engineering,2025-01-22,1
U002,U001,Engineering,2025-02-19,1
U002,U001,Engineering,2025-02-22,2
U002,U001,Engineering,2025-02-27,1
U002,U001,Engineering,2025-03-10,1
U002,U001,Engineering,2025-03-14,1
U002,U001,Engineering,2025-03-21,1
U002,U001,Engineering,2025-03-26,1
U002,U003,Engineering,2025-01-08,1
U002,U003,Engineering,2025-02-02,1
U002,U003,Engineering,2025-02-25,1
U002,U003,Engineering,2025-03-07,1
U002,U003,Engineering,2025-03-14,1
U002,U004,Engineering,2025-01-19,1
U002,U004,Engineering,2025-03-25,1
U002,U006,Engineering,2025-02-28,1
U002,U006,Engineering,2025-03-21,1
U002,U007,Engineering,2025-01-14,1
U002,U007,Engineering,2025-01-17,1
U002,U007,Engineering,2025-01-22,1
U002,U007,Engineering,2025-03-05,1
U002,U007,Engineering,2025-03-27,1
U002,U008,Engineering,2025-01-03,1
U002,U008,Engineering,2025-02-03,1
U002,U009,Engineering,2025-02-05,1
U002,U009,Engineering,2025-03-31,1
U002,U010,Engineering,2025-01-10,1
U002,U010,Engineering,2025-02-08,1
U002,U011,Engineering,2025-02-08,1
U002,U012,Engineering,2025-02-21,1
U002,U012,Engineering,2025-03-04,1
U002,U012,Engineering,2025-03-06,1
U002,U012,Engineering,2025-03-27,1
U002,U014,Engineering,2025-01-08,1
U002,U014,Engineering,2025-03-10,1
U002,U016,Engineering,2025-01-09,1
U002,U016,Engineering,2025-02-15,1
U002,U016,Engineering,2025-02-24,1
U002,U016,Engineering,2025-03-05,1
U002,U016,Engineering,2025-03-18,1
U002,U016,Engineering,2025-04-10,1
U002,U019,Engineering,2025-03-10,1
U002,U020,Engineering,2025-01-17,1
U002,U020,Engineering,2025-01-28,1
U002,U020,Engineering,2025-01-29,1
U002,U020,Engineering,2025-02-22,1
U002,U020,Engineering,2025-02-27,1
U002,U020,Engineering,2025-03-09,1
U002,U021,Engineering,2025-02-17,1
U002,U022,Engineering,2025-03-03,1
U002,U023,Engineering,2025-01-13,1
U002,U023,Engineering,2025-01-17,1
U002,U023,Engineering,2025-02-18,1
U002,U023,Engineering,2025-02-19,2
U002,U023,Engineering,2025-02-20,2
U002,U023,Engineering,2025-04-03,1
U002,U024,Engineering,2025-01-23,1
U002,U024,Engineering,2025-02-20,1
U002,U027,Engineering,2025-01-28,1
U002,U027,Engineering,2025-02-26,1
U002,U028,Engineering,2025-01-07,1
U002,U028,Engineering,2025-01-10,1
U002,U028,Engineering,2025-02-20,1
U002,U028,Engineering,2025-02-27,1
U002,U028,Engineering,2025-03-05,1
U002,U028,Engineering,2025-03-11,1
U002,U028,Engineering,2025-04-03,1
U002,U028,Engineering,2025-04-10,1
U002,U030,Engineering,2025-02-26,1
U002,U030,Engineering,2025-03-13,1
U002,U030,Engineering,2025-03-27,1
U002,U031,Engineering,2025-03-05,1
U002,U033,Engineering,2025-01-10,2
U002,U033,Engineering,2025-01-25,1
U002,U033,Engineering,2025-02-10,1
U002,U033,Engineering,2025-02-21,1
U002,U033,Engineering,2025-03-13,1
U002,U033,Engineering,2025-04-06,1
U002,U033,Engineering,2025-04-08,1
U002,U034,Engineering,2025-01-13,1
U002,U035,Engineering,2025-01-06,1
U002,U035,Engineering,2025-02-17,1
U002,U035,Engineering,2025-03-30,1
U002,U036,Engineering,2025-01-09,1
U002,U036,Engineering,2025-01-16,1
U002,U036,Engineering,2025-02-25,1
U002,U036,Engineering,2025-03-01,1
U002,U036,Engineering,2025-03-12,1
U002,U036,Engineering,2025-03-20,1
U002,U036,Engineering,2025-03-21,1
U002,U036,Engineering,2025-03-26,1
U002,U039,Engineering,2025-01-24,2
U002,U039,Engineering,2025-02-13,1
U002,U039,Engineering,2025-03-01,1
U002,U039,Engineering,2025-03-13,1
U002,U039,Engineering,2025-03-17,1
U002,U039,Engineering,2025-03-20,1
U002,U039,Engineering,2025-03-24,1
U002,U039,Engineering,2025-03-25,1
U002,U040,Engineering,2025-01-31,1
U002,U041,Engineering,2025-01-31,1
U002,U041,Engineering,2025-04-07,1
U002,U043,Engineering,2025-02-20,1
U002,U043,Engineering,2025-03-11,1
U002,U044,Engineering,2025-03-03,2
U002,U044,Engineering,2025-03-19,1
U002,U044,Engineering,2025-03-24,1
U002,U044,Engineering,2025-03-25,1
U002,U045,Engineering,2025-01-20,1
U002,U045,Engineering,2025-01-31,1
U002,U045,Engineering,2025-02-05,1
U002,U045,Engineering,2025-02-20,1
U002,U046,Engineering,2025-02-15,1
U002,U047,Engineering,2025-01-03,1
U002,U047,Engineering,2025-01-09,1
U002,U047,Engineering,2025-01-12,1
U002,U047,Engineering,2025-01-16,1
U002,U047,Engineering,2025-02-19,1
U002,U047,Engineering,2025-03-04,1
U002,U047,Engineering,2025-03-17,1
U002,U047,Engineering,2025-03-27,1
U002,U047,Engineering,2025-04-03,1
U002,U048,Engineering,2025-01-07,1
U002,U048,Engineering,2025-03-06,1
U002,U048,Engineering,2025-03-26,1
U002,U048,Engineering,2025-03-27,1
U002,U048,Engineering,2025-04-03,1
U002,U049,Engineering,2025-01-03,1
U002,U049,Engineering,2025-01-07,1
U002,U049,Engineering,2025-01-15,1
U002,U049,Engineering,2025-01-19,1
U002,U049,Engineering,2025-01-31,1
U002,U049,Engineering,2025-02-02,1
U002,U049,Engineering,2025-03-05,1
U002,U049,Engineering,2025-03-20,1
U002,U049,Engineering,2025-03-26,1
U002,U049,Engineering,2025-04-07,1
U002,U050,Engineering,2025-01-28,1
U002,U051,Engineering,2025-01-08,1
U002,U052,Engineering,2025-01-27,1
U002,U053,Engineering,2025-02-13,1
U002,U053,Engineering,2025-04-04,1
U002,U054,Engineering,2025-01-10,1
U002,U054,Engineering,2025-01-24,2
U002,U054,Engineering,2025-01-31,1
U002,U054,Engineering,2025-02-03,1
U002,U054,Engineering,2025-02-09,1
U002,U054,Engineering,2025-03-24,1
U002,U054,Engineering,2025-03-28,1
U002,U055,Engineering,2025-01-04,1
U002,U055,Engineering,2025-02-28,1
U002,U055,Engineering,2025-03-18,1
U002,U055,Engineering,2025-03-29,1
U002,U056,Engineering,2025-01-06,1
U002,U056,Engineering,2025-03-21,1
U002,U057,Engineering,2025-02-19,1
U002,U059,Engineering,2025-02-07,1
U002,U060,Engineering,2025-01-10,1
U002,U060,Engineering,2025-01-18,1
U002,U060,Engineering,2025-01-30,1
U002,U060,Engineering,2025-02-10,1
U002,U060,Engineering,2025-03-03,1
U002,U060,Engineering,2025-03-10,1
U002,U060,Engineering,2025-03-17,1
U002,U060,Engineering,2025-03-26,2
U002,U060,Engineering,2025-03-29,1
U002,U061,Engineering,2025-01-15,1
U002,U061,Engineering,2025-01-27,1
U002,U061,Engineering,2025-02-02,1
U002,U061,Engineering,2025-02-07,1
U002,U061,Engineering,2025-02-10,1
U002,U061,Engineering,2025-02-25,1
U002,U061,Engineering,2025-03-01,1
U002,U061,Engineering,2025-03-04,1
U002,U061,Engineering,2025-03-10,1
U002,U061,Engineering,2025-03-19,1
U002,U064,Engineering,2025-01-29,1
U002,U064,Engineering,2025-02-03,1
U002,U064,Engineering,2025-02-27,1
U002,U064,Engineering,2025-03-28,1
