user_id,department,date,emails_sent,docs_created,docs_shared,meetings_attended
U001,Engineering,2025-01-01,7,6,4,4
U002,Engineering,2025-01-01,7,1,1,4
U003,Engineering,2025-01-01,11,5,4,6
U004,Sales,2025-01-01,7,6,4,2
U005,Sales,2025-01-01,14,2,2,3
U006,Finance,2025-01-01,5,4,1,3
U007,Engineering,2025-01-01,5,5,3,2
U008,Sales,2025-01-01,11,3,2,4
U009,Marketing,2025-01-01,9,2,2,4
U010,Sales,2025-01-01,8,5,4,7
U011,HR,2025-01-01,9,3,2,7
U012,Finance,2025-01-01,12,3,1,6
U013,Sales,2025-01-01,9,4,2,7
U014,Sales,2025-01-01,8,6,5,5
U015,Sales,2025-01-01,7,7,5,8
U016,Engineering,2025-01-01,6,3,3,3
U017,HR,2025-01-01,3,1,1,7
U018,Sales,2025-01-01,10,3,3,6
U019,Sales,2025-01-01,11,3,1,4
U020,Engineering,2025-01-01,5,6,6,2
U021,Finance,2025-01-01,6,8,3,6
U022,Finance,2025-01-01,6,2,1,5
U023,Engineering,2025-01-01,3,6,5,2
U024,Finance,2025-01-01,7,2,0,5
U025,Marketing,2025-01-01,10,5,2,3
U026,Finance,2025-01-01,8,4,3,3
U027,Engineering,2025-01-01,4,7,4,2
U028,Engineering,2025-01-01,5,4,3,4
U029,Sales,2025-01-01,9,3,2,4
U030,Sales,2025-01-01,14,3,2,6
U031,Sales,2025-01-01,12,7,2,9
U032,HR,2025-01-01,9,4,3,5
U033,Engineering,2025-01-01,4,9,3,2
U034,Marketing,2025-01-01,8,2,1,4
U035,Finance,2025-01-01,7,2,2,3
U036,Engineering,2025-01-01,6,5,5,2
U037,Marketing,2025-01-01,4,4,2,8
U038,HR,2025-01-01,3,6,5,6
U039,Engineering,2025-01-01,5,7,2,3
U040,HR,2025-01-01,3,3,3,6
U041,Marketing,2025-01-01,8,8,6,5
U042,Marketing,2025-01-01,3,6,4,5
U043,HR,2025-01-01,9,1,1,2
U044,Engineering,2025-01-01,8,2,2,6
U045,Engineering,2025-01-01,5,7,3,5
U046,HR,2025-01-01,8,5,2,9
U047,Engineering,2025-01-01,5,7,5,3
U048,Engineering,2025-01-01,6,2,1,3
U049,Engineering,2025-01-01,4,4,2,6
U050,HR,2025-01-01,4,1,1,4
U051,Finance,2025-01-01,13,4,2,8
U052,HR,2025-01-01,7,1,0,0
U053,Marketing,2025-01-01,6,3,3,5
U054,Engineering,2025-01-01,6,4,3,2
U055,Engineering,2025-01-01,6,4,2,7
U056,Sales,2025-01-01,8,2,0,5
U057,Marketing,2025-01-01,10,5,1,3
U058,Marketing,2025-01-01,12,4,1,4
U059,Marketing,2025-01-01,9,8,3,5
U060,Engineering,2025-01-01,8,10,6,2
U061,Engineering,2025-01-01,5,2,1,1
U062,Marketing,2025-01-01,9,7,5,8
